Structure / lab;Pays;Ville;Type;lat;lng
Faculté de géographie et d’aménagement de Strasbourg;France;Strasbourg;Public;48.5734053;7.7521113
Faculty of Archaeology;Pays-Bas;Leyde;Public;52.1518157;4.4811088
Free University of Bozen-Bolzano;Italie;Bolzano;Public;46.655942;11.229637
Fundación Centro de Supercomputación de Galicia;Espagne;Saint-Jacques-de-Compostelle;Public;42.8804219;-8.5458608
Generaldirektion Kulturelles Erbe Rheinland-Pfalz Mayence;Allemagne;Mayence;Public;50.0012314;8.2762513
Hochschule für Technik und Wirtschaft Berlin;Allemagne;Berlin;Public;52.5170365;13.3888599
Incipit Instituto de Ciencias del Patrimonio;Espagne;Saint-Jacques-de-Compostelle;Public;42.8804219;-8.5458608
INRAP Clermont-Ferrand;France;Clermont-Ferrand;Public;45.777222;3.087025
INRAP Dijon;France;Dijon;Public;47.322047;5.04148
INRAP Direction Régionale Grand Est;France;Saint-Martin-sur-le-Pré;Public;48.977621;4.3366642
INRAP Ludres;France;Ludres;Public;48.6217058;6.1609279
INRAP Marseille;France;Marseille;Public;43.296482;5.36978
INRAP Metz;France;Metz;Public;49.1196964;6.1763552
INRAP Paris;France;Paris;Public;48.856614;2.3522219
INRAP Tours;France;Tours;Public;47.394144;0.68484
InShs - Institut national des sciences humaines et sociales;France;Aix-en-Provence;Public;43.529742;5.447427
INP - Institut national du patrimoine;France;Paris;Public;48.856614;2.3522219
IRD - Institut de Recherche pour le Développement;France;Marseille;Public;43.296482;5.36978
"IUGA - Institut d'urbanisme et de Géographie Alpine ";France;Grenoble;Public;45.1875602;5.7357819
I.N.S.A.P. - Institut National des Sciences de l’Archéologie et du Patrimoine;Maroc;Rabat;Public;34.022405;-6.834543
Incipit – Instituto de Ciencia del Patrimonio CSiC;Espagne;Saint-Jacques-de-Compostelle;Public;42.8804219;-8.5458608
IRSTEA - Institut national de Recherche en Sciences et Technologies pour l'Environnement et l'Agriculture;France;Grenoble;Public;45.1875602;5.7357819
Johanna Mestorf Academy;Allemagne;Kiel;Public;54.3227085;10.135555
Kanton Baselland Amt für Kultur Augusta Raurica;Suisse;Augst;Public;47.5338077;7.7206018
LabEx ARCHIMEDE;France;Strasbourg;Public;48.5734053;7.7521113
LabEx IMU;France;Lyon;Public;45.764043;4.835659
LabEx Med;France;Aix-en-Provence;Public;43.529742;5.447427
Landesamt für Denkmalpflege Baden-Württemberg;Allemagne;Stuttgart;Public;48.7784485;9.1800132
Landesamt für Denkmalpflege Dienstsitz Esslingen;Allemagne;Esslingen;Public;48.7427584;9.3071685
Landesamt für Denkmalpflege Karlsruhe;Allemagne;Karlsruhe;Public;49.0068705;8.4034195
Landesdenkmalamt Saarland;Allemagne;Sarrebruck;Public;49.234362;6.996379
Lycée Mermoz;France;Saint-Louis;Public;48.7160783;7.1884164
Maison de l'Orient et de la Méditerranée Jean Pouilloux (MOM);France;Lyon;Public;45.764043;4.835659
Ministère de la Culture;Grèce;Véria;Public;40.5193618;22.2052162
Monuments Board of the Slovak Republic;Slovaquie;Bratislava;Public;48.1516988;17.1093063
Mosaïques Archéologie;France;Cournonterral;Privé;43.557935;3.7188857
MNHN - Muséum National d'Histoire Naturelle;France;Paris;Public;48.856614;2.3522219
Museum in der Alten Schule;Allemagne;Efringen-Kirchen;Public;47.6556421;7.565174
Österreichische Akademie der Wissenschaften;Autriche;Vienne;Public;48.2083537;16.3725042
Paléotime;France;Villard-de-Lans;Privé;45.0705366;5.551536
PUDN - Plateforme Universitaire des Données de Paris Nanterre;France;Nanterre;Public;48.8924273;2.2071267
PNC - Parc national des Cévennes;France;Florac;Public;44.3190130;3.5780206
RP Stuttgart Abt. 8/Landesamt für Denkmalpflege;Allemagne;Stuttgart;Public;48.7784485;9.1800132
Service archéologique ville d'Aix-en-Provence;France;Aix-en-Provence;Public;43.529742;5.447427
SDAVO - Service départemental d'archéologie du Val d'Oise;France;Pontoise;Public;48.5734053;7.7521113
SRA - Service Régional de l'Archéologie Grand Est;France;Strasbourg;Public;48.5734053;7.7521113
SRA - Service Régional de l'Archéologie Pays de la Loire;France;Pontoise;Public;49.0508845;2.1008067
TERA;Suisse;Sion;Privé;46.2302151;7.3637051
The KRDB Research Centre for Knowledge and Data;Italie;Bolzano;Public;46.655942;11.229637
UR 2449 DYPAC - Dynamiques patrimoniales et culturelles;France;Guyancourt;Public;48.7709414;2.0706084
UNIARQ - Centro de Arqueologia da Universidade de Lisboa;Portugal;Lisbonne;Public;38.7222524;-9.1393366
Universidad Carlos III de Madrid;Espagne;Madrid;Public;40.4167754;-3.7037902
Universidad de Cádiz;Espagne;Cadix;Public;36.5298292;-6.2925679
Universidad de Santiago de Compostela;Espagne;Saint-Jacques-de-Compostelle;Public;42.8804219;-8.5458608
Universidad de Sevilla;Espagne;Séville;Public;37.3890924;-5.9844589
Universidad de Zaragoza;Espagne;Saragosse;Public;41.6521342;-0.8809428
Universidade Federal Fluminense;Brésil;Niterói;Public;-22.8832371;43.1154552
Universidade Nova de Lisboa;Portugal;Lisbonne;Public;38.7222524;-9.1393366
Università degli Studi di Firenze;Italie;Florence;Public;43.7698712;11.2555757
Università di Roma - La Sapienza;Italie;Rome;Public;41.8933203;12.4829321
Universitat Autonoma Barcelona;Espagne;Barcelone;Public;41.3828939;2.1774322
Universität Basel;Suisse;Bâle;Public;47.5595986;7.5885761
Universität Berlin - Freie;Allemagne;Berlin;Public;52.5170365;13.3888599
Universität Bern;Suisse;Berne;Public;46.9482713;7.4514512
Universität Bonn Geographisches Institut Bereich Historische Geographie;Allemagne;Bonn;Public;50.735851;7.10066
Universitat de Valencia;Espagne;Valencia;Public;39.4697065;-0.3763353
Universität Erlangen-Nürnberg - Institut für Ur- und Frühgeschichte der Friedrich-Alexander;Allemagne;Erlangen;Public;49.5981187;11.003645
Universität Freiburg;Allemagne;Fribourg-en-Brisgau;Public;47.9960901;7.8494005
Universität Göttingen - Georg-August;Allemagne;"Göttingen ";Public;51.5328328;9.9351811
Universität Halle-Wittenberg - Martin-Luther;Allemagne;Halle;Public;51.4825041;11.9705452
Universität Heidelberg - Institut für Ur- und Frühgeschichte und Vorderasiatische Archäologie;Allemagne;Heidelberg;Public;49.4093582;8.694724
Universität Kiel - Christian-Albrechts;Allemagne;Kiel;Public;54.3227085;10.135555
Universität Kiel - Institut für Ur- und Frühgeschichte;Allemagne;Kiel;Public;54.3227085;10.135555
Universität Mainz - Johannes Gutenberg;Allemagne;Mayence;Public;50.0012314;8.2762513
Universität Marburg - Philipps;Allemagne;Marburg;Public;50.8117327;8.7757742
Universität München -Ludwig-Maximilians- Institut für Vor- und Frühgeschichtliche Archäologie und Provinzialrömische Archäologie;Allemagne;Munich;Public;48.1371079;11.5753822
